wavelength	V1	no
470	0.00387	1486
480	0.00399	1487
490	0.00426	1488
500	0.00342	1489
510	0.00278	1490
520	0.00222	1491
530	0.0018	1492
540	0.00313	1493
550	0.00268	1494
560	0.0016	1495
570	0.00168	1496
580	0.00255	1497
590	0.00232	1498
600	0.0024	1499
610	0.0032	1500
620	0.00281	1501
630	0.00263	1502
640	0.00218	1503
650	0.00198	1504
660	0.00171	1505
670	0.00122	1506
680	0.00092	1507
690	0.000724	1508
700	0.000505	1509
710	0.000465	1510
720	0.000303	1511
730	0.000238	1512
740	0.000197	1513
750	0.000173	1514
760	0.000501	1515
770	0.000168	1516
780	9.11e-05	1517
380	0.000634	1518
390	0.000282	1519
400	0.000285	1520
410	0.00061	1521
420	0.00108	1522
430	0.0018	1523
440	0.00248	1524
450	0.00302	1525
460	0.00353	1526
470	0.00387	1527
480	0.00399	1528
490	0.00426	1529
500	0.00342	1530
510	0.00278	1531
520	0.00222	1532
530	0.0018	1533
540	0.00313	1534
550	0.00268	1535
560	0.0016	1536
570	0.00168	1537
580	0.00255	1538
590	0.00232	1539
600	0.0024	1540
610	0.0032	1541
620	0.00281	1542
630	0.00263	1543
640	0.00218	1544
650	0.00198	1545
660	0.00171	1546
670	0.00122	1547
680	0.00092	1548
690	0.000724	1549
700	0.000505	1550
710	0.000465	1551
720	0.000303	1552
730	0.000238	1553
740	0.000197	1554
750	0.000173	1555
760	0.000501	1556
770	0.000168	1557
780	9.11e-05	1558
380	0.000634	1559
390	0.000282	1560
400	0.000285	1561
410	0.00061	1562
420	0.00108	1563
430	0.0018	1564
440	0.00248	1565
450	0.00302	1566
460	0.00353	1567
470	0.00387	1568
480	0.00399	1569
490	0.00426	1570
500	0.00342	1571
510	0.00278	1572
520	0.00222	1573
530	0.0018	1574
540	0.00313	1575
550	0.00268	1576
560	0.0016	1577
570	0.00168	1578
580	0.00255	1579
590	0.00232	1580
600	0.0024	1581
610	0.0032	1582
620	0.00281	1583
630	0.00263	1584
640	0.00218	1585
650	0.00198	1586
660	0.00171	1587
670	0.00122	1588
680	0.00092	1589
690	0.000724	1590
700	0.000505	1591
710	0.000465	1592
720	0.000303	1593
730	0.000238	1594
740	0.000197	1595
750	0.000173	1596
760	0.000501	1597
770	0.000168	1598
780	9.11e-05	1599
380	0.000634	1600
390	0.000282	1601
400	0.000285	1602
410	0.00061	1603
420	0.00108	1604
430	0.0018	1605
440	0.00248	1606
450	0.00302	1607
460	0.00353	1608
470	0.00387	1609
480	0.00399	1610
490	0.00426	1611
500	0.00342	1612
510	0.00278	1613
520	0.00222	1614
530	0.0018	1615
540	0.00313	1616
550	0.00268	1617
560	0.0016	1618
570	0.00168	1619
580	0.00255	1620
590	0.00232	1621
600	0.0024	1622
610	0.0032	1623
620	0.00281	1624
630	0.00263	1625
640	0.00218	1626
650	0.00198	1627
660	0.00171	1628
670	0.00122	1629
680	0.00092	1630
690	0.000724	1631
700	0.000505	1632
710	0.000465	1633
720	0.000303	1634
730	0.000238	1635
740	0.000197	1636
750	0.000173	1637
760	0.000501	1638
770	0.000168	1639
780	9.11e-05	1640
380	0.000634	1641
390	0.000282	1642
400	0.000285	1643
410	0.00061	1644
420	0.00108	1645
430	0.0018	1646
440	0.00248	1647
450	0.00302	1648
460	0.00353	1649
470	0.00387	1650
480	0.00399	1651
490	0.00426	1652
500	0.00342	1653
510	0.00278	1654
520	0.00222	1655
530	0.0018	1656
540	0.00313	1657
550	0.00268	1658
560	0.0016	1659
570	0.00168	1660
580	0.00255	1661
590	0.00232	1662
600	0.0024	1663
610	0.0032	1664
620	0.00281	1665
630	0.00263	1666
640	0.00218	1667
650	0.00198	1668
660	0.00171	1669
670	0.00122	1670
680	0.00092	1671
690	0.000724	1672
700	0.000505	1673
710	0.000465	1674
720	0.000303	1675
730	0.000238	1676
740	0.000197	1677
750	0.000173	1678
760	0.000501	1679
770	0.000168	1680
780	9.11e-05	1681
380	0.000634	1682
390	0.000282	1683
400	0.000285	1684
410	0.00061	1685
420	0.00108	1686
430	0.0018	1687
440	0.00248	1688
450	0.00302	1689
460	0.00353	1690
470	0.00387	1691
480	0.00399	1692
490	0.00426	1693
500	0.00342	1694
510	0.00278	1695
520	0.00222	1696
530	0.0018	1697
540	0.00313	1698
550	0.00268	1699
560	0.0016	1700
570	0.00168	1701
580	0.00255	1702
590	0.00232	1703
600	0.0024	1704
610	0.0032	1705
620	0.00281	1706
630	0.00263	1707
640	0.00218	1708
650	0.00198	1709
660	0.00171	1710
670	0.00122	1711
680	0.00092	1712
690	0.000724	1713
700	0.000505	1714
710	0.000465	1715
720	0.000303	1716
730	0.000238	1717
740	0.000197	1718
750	0.000173	1719
760	0.000501	1720
770	0.000168	1721
780	9.11e-05	1722
380	0.000634	1723
390	0.000282	1724
400	0.000285	1725
410	0.00061	1726
420	0.00108	1727
430	0.0018	1728
440	0.00248	1729
450	0.00302	1730
460	0.00353	1731
470	0.00387	1732
480	0.00399	1733
490	0.00426	1734
500	0.00342	1735
510	0.00278	1736
520	0.00222	1737
530	0.0018	1738
540	0.00313	1739
550	0.00268	1740
560	0.0016	1741
570	0.00168	1742
580	0.00255	1743
590	0.00232	1744
600	0.0024	1745
610	0.0032	1746
620	0.00281	1747
630	0.00263	1748
640	0.00218	1749
650	0.00198	1750
660	0.00171	1751
670	0.00122	1752
680	0.00092	1753
690	0.000724	1754
700	0.000505	1755
710	0.000465	1756
720	0.000303	1757
730	0.000238	1758
740	0.000197	1759
750	0.000173	1760
760	0.000501	1761
770	0.000168	1762
780	9.11e-05	1763
380	0.000634	1764
390	0.000282	1765
400	0.000285	1766
410	0.00061	1767
420	0.00108	1768
430	0.0018	1769
440	0.00248	1770
450	0.00302	1771
460	0.00353	1772
470	0.00387	1773
480	0.00399	1774
490	0.00426	1775
500	0.00342	1776
510	0.00278	1777
520	0.00222	1778
530	0.0018	1779
540	0.00313	1780
550	0.00268	1781
560	0.0016	1782
570	0.00168	1783
580	0.00255	1784
590	0.00232	1785
600	0.0024	1786
610	0.0032	1787
620	0.00281	1788
630	0.00263	1789
640	0.00218	1790
650	0.00198	1791
660	0.00171	1792
670	0.00122	1793
680	0.00092	1794
690	0.000724	1795
700	0.000505	1796
710	0.000465	1797
720	0.000303	1798
730	0.000238	1799
740	0.000197	1800
750	0.000173	1801
760	0.000501	1802
770	0.000168	1803
780	9.11e-05	1804
380	0.000634	1805
390	0.000282	1806
400	0.000285	1807
410	0.00061	1808
420	0.00108	1809
430	0.0018	1810
440	0.00248	1811
450	0.00302	1812
460	0.00353	1813
470	0.00387	1814
480	0.00399	1815
490	0.00426	1816
500	0.00342	1817
510	0.00278	1818
520	0.00222	1819
530	0.0018	1820
540	0.00313	1821
550	0.00268	1822
560	0.0016	1823
570	0.00168	1824
580	0.00255	1825
590	0.00232	1826
600	0.0024	1827
610	0.0032	1828
620	0.00281	1829
630	0.00263	1830
640	0.00218	1831
650	0.00198	1832
660	0.00171	1833
670	0.00122	1834
680	0.00092	1835
690	0.000724	1836
700	0.000505	1837
710	0.000465	1838
720	0.000303	1839
730	0.000238	1840
740	0.000197	1841
750	0.000173	1842
760	0.000501	1843
770	0.000168	1844
780	9.11e-05	1845
380	0.000634	1846
390	0.000282	1847
400	0.000285	1848
410	0.00061	1849
420	0.00108	1850
430	0.0018	1851
440	0.00248	1852
450	0.00302	1853
460	0.00353	1854
470	0.00387	1855
480	0.00399	1856
490	0.00426	1857
500	0.00342	1858
510	0.00278	1859
520	0.00222	1860
530	0.0018	1861
540	0.00313	1862
550	0.00268	1863
560	0.0016	1864
570	0.00168	1865
580	0.00255	1866
590	0.00232	1867
600	0.0024	1868
610	0.0032	1869
620	0.00281	1870
630	0.00263	1871
640	0.00218	1872
650	0.00198	1873
660	0.00171	1874
670	0.00122	1875
680	0.00092	1876
690	0.000724	1877
700	0.000505	1878
710	0.000465	1879
720	0.000303	1880
730	0.000238	1881
740	0.000197	1882
750	0.000173	1883
760	0.000501	1884
770	0.000168	1885
780	9.11e-05	1886
380	0.000634	1887
390	0.000282	1888
400	0.000285	1889
410	0.00061	1890
420	0.00108	1891
430	0.0018	1892
440	0.00248	1893
450	0.00302	1894
460	0.00353	1895
470	0.00387	1896
480	0.00399	1897
490	0.00426	1898
500	0.00342	1899
510	0.00278	1900
520	0.00222	1901
530	0.0018	1902
540	0.00313	1903
550	0.00268	1904
560	0.0016	1905
570	0.00168	1906
580	0.00255	1907
590	0.00232	1908
600	0.0024	1909
610	0.0032	1910
620	0.00281	1911
630	0.00263	1912
640	0.00218	1913
650	0.00198	1914
660	0.00171	1915
670	0.00122	1916
680	0.00092	1917
690	0.000724	1918
700	0.000505	1919
710	0.000465	1920
720	0.000303	1921
730	0.000238	1922
740	0.000197	1923
750	0.000173	1924
760	0.000501	1925
770	0.000168	1926
780	9.11e-05	1927
380	0.000634	1928
390	0.000282	1929
400	0.000285	1930
410	0.00061	1931
420	0.00108	1932
430	0.0018	1933
440	0.00248	1934
450	0.00302	1935
460	0.00353	1936
470	0.00387	1937
480	0.00399	1938
490	0.00426	1939
500	0.00342	1940
510	0.00278	1941
520	0.00222	1942
530	0.0018	1943
540	0.00313	1944
550	0.00268	1945
560	0.0016	1946
570	0.00168	1947
580	0.00255	1948
590	0.00232	1949
600	0.0024	1950
610	0.0032	1951
620	0.00281	1952
630	0.00263	1953
640	0.00218	1954
650	0.00198	1955
660	0.00171	1956
670	0.00122	1957
680	0.00092	1958
690	0.000724	1959
700	0.000505	1960
710	0.000465	1961
720	0.000303	1962
730	0.000238	1963
740	0.000197	1964
750	0.000173	1965
760	0.000501	1966
770	0.000168	1967
780	9.11e-05	1968
